platform_name,item_id,item_label,target_url,comparison_type,held_constant_factor,held_constant_value,compared_factor,compared_values,n_rows_compared,disclosure_present_diff,visibility_diff,clicks_required_diff,price_diff,pricing_confidence_diff,notes
Airbnb,url_1,URL 1,https://www.airbnb.com,device_effect,location_name,brooklyn,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,True,Compares devices while holding location constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,device_effect,location_name,city_hall_manhattan,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,False,Compares devices while holding location constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,device_effect,location_name,long_island_city_queens,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,False,Compares devices while holding location constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,location_effect,device_type,android_mobile,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,True,Compares locations while holding device constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,location_effect,device_type,desktop_browser,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,False,Compares locations while holding device constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,location_effect,device_type,iphone_mobile,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,True,Compares locations while holding device constant.
Airbnb,url_1,URL 1,https://www.airbnb.com,full_matrix,,,device_type_x_location_name,android_mobile__brooklyn|android_mobile__city_hall_manhattan|android_mobile__long_island_city_queens|desktop_browser__brooklyn|desktop_browser__city_hall_manhattan|desktop_browser__long_island_city_queens|iphone_mobile__brooklyn|iphone_mobile__city_hall_manhattan|iphone_mobile__long_island_city_queens,9,False,False,False,False,True,All available device x location rows for this platform item.
Amazon,url_1,URL 1,https://www.amazon.com,device_effect,location_name,brooklyn,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,True,Compares devices while holding location constant.
Amazon,url_1,URL 1,https://www.amazon.com,device_effect,location_name,city_hall_manhattan,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,False,Compares devices while holding location constant.
Amazon,url_1,URL 1,https://www.amazon.com,device_effect,location_name,long_island_city_queens,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,False,Compares devices while holding location constant.
Amazon,url_1,URL 1,https://www.amazon.com,location_effect,device_type,android_mobile,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,False,Compares locations while holding device constant.
Amazon,url_1,URL 1,https://www.amazon.com,location_effect,device_type,desktop_browser,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,True,Compares locations while holding device constant.
Amazon,url_1,URL 1,https://www.amazon.com,location_effect,device_type,iphone_mobile,location_name,brooklyn|city_hall_manhattan|long_island_city_queens,3,False,False,False,False,False,Compares locations while holding device constant.
Amazon,url_1,URL 1,https://www.amazon.com,full_matrix,,,device_type_x_location_name,android_mobile__brooklyn|android_mobile__city_hall_manhattan|android_mobile__long_island_city_queens|desktop_browser__brooklyn|desktop_browser__city_hall_manhattan|desktop_browser__long_island_city_queens|iphone_mobile__brooklyn|iphone_mobile__city_hall_manhattan|iphone_mobile__long_island_city_queens,9,False,False,False,False,True,All available device x location rows for this platform item.
Booking.com,url_1,URL 1,https://www.booking.com,device_effect,location_name,brooklyn,device_type,android_mobile|desktop_browser|iphone_mobile,3,False,False,False,False,False,Compares devices while holding location constant.
